Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
300.5,309.8,1507,42.5,117
298.0,307.8,1414,51.7,140
299.3,308.8,1636,29.9,201
303.5,312.8,1375,45.7,89
304.2,313.4,1568,37.6,25
301.8,311.2,1822,26.2,204
300.1,311.6,1433,51.4,76
302.7,312.0,1484,41.5,65
297.0,307.9,1414,46.2,165
296.6,307.7,1654,31.0,91
298.0,308.2,1348,58.8,202
299.2,309.0,1615,33.7,193
300.2,309.6,1359,51.5,66
301.3,310.3,1626,31.3,180
303.7,312.4,1642,32.3,206
301.7,310.8,1622,37.8,0
300.2,309.8,1487,39.2,122
296.7,307.4,1533,32.5,182
300.7,311.9,1486,35.8,32
300.6,310.6,1830,26.2,78
302.7,310.7,1433,43.7,13
298.9,310.1,1466,42.5,187
299.0,308.9,1615,30.6,14
300.3,311.9,1390,49.0,194
301.2,310.0,1625,31.6,173
298.2,308.4,1478,42.9,183
302.1,310.8,1409,41.3,39
302.2,311.4,1477,41.7,15
301.8,310.3,1341,50.5,64
298.4,308.3,1452,48.5,73
298.8,310.2,1583,35.7,116
301.4,310.3,1610,29.1,166
299.2,308.6,1381,50.0,193
300.5,309.8,1370,55.9,143
300.9,312.1,1462,46.0,166
298.4,309.5,1520,38.1,106
302.7,312.1,1597,39.8,153
297.4,309.2,1584,42.8,186
300.7,311.0,1740,25.6,176
297.4,308.8,1529,41.3,165
298.0,308.5,1666,31.0,198
298.0,308.1,1403,44.8,148
298.0,308.6,1532,42.6,54
300.7,312.3,1548,37.9,58
302.1,310.7,1376,46.3,210
300.0,311.4,1352,61.8,10
300.7,312.1,1490,43.1,159
300.8,310.9,1425,44.0,33
298.5,309.6,1582,40.3,103
301.5,310.9,1671,31.1,170
299.7,310.2,1458,43.4,28
295.6,306.2,1287,54.8,49
298.9,310.1,1366,62.7,161
298.9,308.2,1335,47.8,40
298.2,308.8,1362,57.3,28
300.2,309.8,1466,45.7,41
301.2,311.0,1596,37.2,219
299.1,308.8,1553,32.6,90
297.7,308.3,1547,36.8,74
300.1,311.4,1467,35.7,45
299.8,309.2,1504,38.7,212
302.8,312.6,1462,39.4,22
298.7,309.7,1362,50.5,34
300.9,309.6,1384,42.4,131
299.7,309.3,1494,37.8,214
297.8,308.4,1550,38.2,185
300.3,309.6,1404,44.6,87
300.0,311.2,1418,47.3,60
295.8,306.4,1339,53.2,67
302.6,311.0,1520,42.8,148
296.0,306.6,1392,51.3,124
298.4,309.2,1692,29.8,137
300.5,311.6,1541,47.8,156
299.2,308.5,1594,35.8,160
303.1,311.3,1494,42.7,221
303.9,313.2,1345,48.2,77
297.9,309.0,1528,37.5,54
298.0,308.6,1507,37.3,217
297.8,309.4,1495,36.5,132
300.8,310.3,1383,46.6,19
300.8,310.9,1453,43.9,84
298.2,309.1,1467,44.5,80
298.2,309.1,1539,36.5,134
298.2,308.7,1780,27.9,35
299.0,308.7,1892,22.8,96
300.8,310.4,1288,64.0,3
300.7,310.6,1616,29.6,47
298.9,309.9,1592,32.0,60
298.9,310.1,1401,44.4,76
300.0,310.4,1881,21.9,102
297.2,308.5,1513,42.9,212
297.0,307.7,1834,23.8,195
299.8,309.1,1612,35.4,205
302.3,311.7,1517,37.6,124
